"","country","year","active_pop_oecd","active_pop_growth_oecd","unemployment_rate_oecd","vacancy_rate_lm_v1","vacancy_rate_oecd","unemployment_level_oecd","vacancy_stock_oecd","vacancy_stock_lm_v1","vacancy_stock_eurostat","becru_lm_v1","fegap_lm_v1"
"156","Germany",2019,43771372.5,0.900625681827219,5.17688316979685,3.11112142314999,1.76984451686057,2266000,774583.325,1361705.46339155,1361705.46339155,4.0132171801062,1.16366598969064
"157","Germany",2020,43516875,-0.581424537236067,6.20696956404326,2.39250695979776,1.41263321462686,2700166.75,614916.675,1041370.34246428,1041370.34246428,3.85359804354662,2.35337152049664
"158","Germany",2021,42960625,-1.27823976331021,6.07430833002864,3.10571896352657,1.6391972737259,2609333.5,704333.325,1334466.4755025,1334466.4755025,4.3433966628524,1.73091166717624
"159","Germany",2022,43905150,2.19858300478636,5.50851581797874,4.21980618035552,1.9241960530053,2418833.5,844749.975,1852942.41413213,1852942.41413213,4.82129330089892,0.687222517079816
"160","Sweden",1970,3851852.37788994,NA,1.86194498611467,1.99896525428204,1.61697121443435,71740.5003489214,62241.3325,76959.4720698215,NA,1.92923905533448,-0.0672940692198123
"161","Sweden",1971,3895791.15385223,1.14071806631293,3.07386936449249,1.38299928115215,0.923544171189451,119771.601941944,35972.9975,53873.1232114886,NA,2.06183392188817,1.01203544260432
"162","Sweden",1972,3908949.87993741,0.337767748976183,3.32686393978115,1.28168278550728,0.810452803109712,130044.797164557,31680.1675,50100.30049663,NA,2.06494170410267,1.26192223567848
"163","Sweden",1973,3926358.32239671,0.445348315890317,3.05634637672732,1.35718491464145,0.899227059919474,119983.223493786,35318.4975,53297.9053559306,NA,2.03667061559138,1.01967576113593
"164","Sweden",1974,3989191.2338599,1.60028469904992,2.41109892318942,1.63383948276497,1.22416044059669,96135.1325230885,48855.665,65195.2628191534,NA,1.98477923647921,0.426319686710213
"165","Sweden",1975,4080488.61706489,2.28861886665312,1.9947185365329,1.62895711438668,1.23281199590151,81414.752326947,50281.92,66448.7499735902,NA,1.80258451987258,0.192134016660318
"166","Sweden",1976,4122031.82822941,1.01809403390536,1.94059577888504,1.52983911448047,1.12630145127985,79996.3359512786,46428.5,63062.1098071054,NA,1.72302040844966,0.217575370435382
"167","Sweden",1977,4151026.1632124,0.703399104888453,2.23443064939878,1.34181393525822,0.916652833396193,92767.0433020516,38043.835,55693.1120670411,NA,1.73152827950668,0.502902369892101
"168","Sweden",1978,4184153.77653638,0.798058408245374,2.81957985667982,1.25885364039122,0.827086196223533,117975.828994468,34609.585,52674.8661992794,NA,1.88399532031137,0.935584536368446
"169","Sweden",1979,4237879.26400637,1.28402277591393,2.5974570285863,1.55050419795024,1.16660111101366,110048.291977546,49462.0825,65728.2225959645,NA,2.00683034330718,0.59062668527912
"170","Sweden",1980,4280255.91524222,0.999949469910012,2.502342196716,1.62814754749143,1.26087187610741,107119.718972318,53960.6675,69681.876403062,NA,2.01846038122314,0.483881815492853
"171","Sweden",1981,4312968.08017525,0.764257221549251,3.17891670057683,1.12813434736384,0.69643137775122,137115.849670975,30032.75,48652.4411206808,NA,1.89373839727911,1.28517830329772
"172","Sweden",1982,4326381.90452584,0.31101144504753,3.9649797476719,0.918092861719184,0.459258892074772,171550.986054654,19866.6675,39717.8159486784,NA,1.90793595364171,2.05704379403019
"173","Sweden",1983,4352859.02404785,0.611992193622705,4.36848254478722,0.931283486006893,0.477829850735906,190156.720271757,20800,40538.0902331285,NA,2.01700164919856,2.35148089558866
"174","Sweden",1984,4377273.89932214,0.560892855463784,3.91771296410068,1.0912247793156,0.663054752932221,171472.922652712,29033.335,47774.0891678734,NA,2.06763281669465,1.85008014740603
"175","Sweden",1985,4412537.95222514,0.805616776881681,3.58993994657871,1.22839034154933,0.823754591494929,158396.82799061,36350.0025,54204.4601215492,NA,2.09996370376238,1.48997624281633
