"","country","year","unemployment_rate","vacancy_rate","active_pop","active_pop_growth","vacancy_stock_eurostat"
"52","Bulgaria","2022",4.275,0.595830725903906,3181250,0.371684967041902,18955.7197240689
"53","Croatia","2012",15.95,0.580590459307397,1823250,NA,10585.6341703032
"54","Croatia","2013",17.2,0.545620602268022,1811500,0.311178943419263,9882.17618507332
"55","Croatia","2014",17.4,0.58380543720814,1868250,0.590929644069136,10909.7761996908
"56","Croatia","2015",16.2,0.741241429216795,1864750,-0.212783465692142,13818.9170072449
"57","Croatia","2016",13.2,0.995135234274986,1807250,-0.607934031850503,17979.3067914653
"58","Croatia","2017",11.125,1.1304073090236,1805750,0.0698536142422267,20412.468804641
"59","Croatia","2018",8.425,1.14563457730437,1784000,-0.542632391028762,20439.8180685057
"60","Croatia","2019",6.675,0.995331693121772,1769000,0.0740151305328786,17606.9588012718
"61","Croatia","2020",7.55,0.797370646304096,1764000,-0.0822522748045629,14068.2958490662
"62","Croatia","2021",7.7,1.07626810837378,1784750,0.101455146020928,19203.70970905
"63","Croatia","2022",6.95,1.14312361226663,1793000,0.0917515352369179,20497.5553155625
"64","Cyprus","2005",5.375,0.807014749965767,357250,NA,2884.00174064969
"65","Cyprus","2006",4.575,0.775602424919899,365750,0.755911320066161,2832.796060378
"66","Cyprus","2007",3.95,3.44438267489572,382750,1.1273778719877,13188.2763769607
"67","Cyprus","2008",3.625,3.26505045478486,385750,0.00150970333394149,12586.8117563039
"68","Cyprus","2009",5.425,1.87770876064984,393000,0.830946510835465,7367.38169075471
"69","Cyprus","2010",6.325,1.21559398819984,409000,0.740037592664812,4968.48146139581
"70","Cyprus","2011",7.925,0.762014742972831,419750,0.604002798674108,3196.84658931517
"71","Cyprus","2012",11.875,0.379609201123418,426500,0.294260294481507,1618.46880730193
"72","Cyprus","2013",15.875,0.292777796050102,425000,-0.232676294485448,1243.36644553892
"73","Cyprus","2014",16.2,0.541885724704698,424250,0.118063918997279,2298.75342408228
"74","Cyprus","2015",14.9,0.636252021181156,412500,-1.25510657798253,2621.89325417323
"75","Cyprus","2016",12.975,0.799529884163255,408000,0.492962101990133,3262.94179619747
"76","Cyprus","2017",11.125,0.839549580231674,417250,0.421550331908063,3504.54991692782
"77","Cyprus","2018",8.4,1.20199874036827,426500,0.59075946244754,5129.90699994736
"78","Cyprus","2019",7.05,1.41432916409126,434750,0.46310591999699,6148.24724905799
"79","Cyprus","2020",7.625,1.30805714319856,439250,0.399953129386673,5747.35890279827
"80","Cyprus","2021",7.5,1.69971407282228,451000,0.785287911370094,7687.05845488815
"81","Cyprus","2022",6.775,2.2193371247674,467500,0.807435363317834,10370.045079054
"82","Czechia","2005",7.925,1.08840194380778,5118750,NA,55707.25
"83","Czechia","2006",7.15,1.59596512972442,5140750,-0.0241413333983626,82022
"84","Czechia","2007",5.3,2.35466233107041,5131000,0.0342044435515969,120833.5
"85","Czechia","2008",4.425,2.61769684684977,5160750,0.170229695784996,135079.75
"86","Czechia","2009",6.675,0.896136976370786,5208000,0.207354783519219,46644.5
"87","Czechia","2010",7.3,0.631418474522788,5191250,-0.148903248659583,32778.25
"88","Czechia","2011",6.7,0.699323915810499,5147000,-0.256415985064958,35989.25
"89","Czechia","2012",7,0.750987741310549,5176750,0.334547362999326,38879.25
"90","Czechia","2013",6.95,0.690358045969967,5212750,0.0481991809839083,35986
"91","Czechia","2014",6.1,1.00747472440904,5206750,0.0578077329122353,52464
"92","Czechia","2015",5.025,1.77678398555767,5202000,-0.148699357082176,92403.25
"93","Czechia","2016",3.95,2.37535949903208,5225250,0.273457475859327,124142.5
"94","Czechia","2017",2.9,3.23742994853458,5248750,0.000138745884376716,169939.25
"95","Czechia","2018",2.275,4.8272718926752,5267500,0.133177785674305,254309
"96","Czechia","2019",2.025,5.46646341775967,5259500,-0.123422767237156,287517
"97","Czechia","2020",2.6,4.66583245342504,5221250,-0.157362922053515,243629
"98","Czechia","2021",2.825,4.36383369359777,5210750,-0.119743758446421,227388.5
"99","Czechia","2022",2.225,4.14508024788951,5134250,-0.42152024828777,212900.75
"100","Estonia","2005",8.05,2.03902033977397,647000,NA,13187.1161414076
"101","Estonia","2006",5.9,2.62356074912147,666250,0.67132832255327,17471.3872278179
"102","Estonia","2007",4.6,2.95298545783092,663750,-0.262993641708348,19602.4578032792
"103","Estonia","2008",5.475,2.12923424242823,668500,0.793130396423454,14203.3711868141
"104","Estonia","2009",13.55,0.722132603144922,668500,-0.3668080890864,4825.65514253235
"105","Estonia","2010",16.475,0.757057525457644,668250,-0.185234694529206,5057.12149680642
"106","Estonia","2011",12.225,0.976821904547265,669000,0.226861585017207,6536.35167002629
"107","Estonia","2012",9.925,1.08759339267392,666250,-0.224047081605098,7245.68472955055
"108","Estonia","2013",8.55,1.09643781258904,661250,-0.110940321567338,7249.13900677527
"109","Estonia","2014",7.275,1.16438341444752,653500,-0.260036443459989,7610.87073552031
"110","Estonia","2015",6.35,1.24044730228678,653500,0.0807044824977671,8105.64440958686
"111","Estonia","2016",6.825,1.53268421460786,658750,0.0178767151514814,10099.0780085908
"112","Estonia","2017",5.75,1.69408155775835,664000,0.568594822812861,11246.4920430005
"113","Estonia","2018",5.35,1.6704062061167,663000,-0.298275887589933,11074.9902406503
"114","Estonia","2019",4.56666666666667,1.66262844506343,661000,-0.0483663187042411,10989.9625097621
"115","Finland","2000",12.403485108604,NA,NA,NA,NA
"116","Finland","2001",11.6010381775734,NA,NA,NA,NA
"117","Finland","2002",11.2652890325091,1.79595398239273,2590500,NA,46527.1986678575
"118","Finland","2003",11.1110301809605,1.46744190772203,2579500,-0.232273292212871,37840.6506263832
"119","Finland","2004",11.1206542885579,1.43836210701852,2574250,0.175608321887337,37023.7035730708
"120","Finland","2005",10.5069303738519,1.5931600374036,2596750,0.348197803573873,41371.0597159748
"121","Finland","2006",9.36295877884642,1.84905437860464,2619750,0.0964835657228086,48443.0648358043
"122","Finland","2007",8.06687338137361,1.99112770392254,2641500,0.284929234705543,52596.5184527934
"123","Finland","2008",7.50561086196167,1.91297146630942,2669250,0.226165099002519,51047.5857330575
"124","Finland","2009",9.88938083701319,1.2856707140226,2615250,-0.655572486522004,33624.3975151816
"125","Finland","2010",9.91149333849923,1.60578159481549,2600250,-0.10483100661766,41757.9701496866
"126","Finland","2011",9.09198442321977,1.76982929684869,2604750,0.0774073023841828,46103.0084913906
"127","Finland","2012",9.41077263810192,1.7586725332482,2607500,-0.0175649408084716,45847.9375253703
"128","Finland","2013",10.9926813943761,1.09702535763627,2594000,-0.123974962012308,28461.10229968
"129","Finland","2014",12.1538426923974,1.05667436456885,2590250,-0.00943629203162393,27369.3865979018
"130","Finland","2015",13.0860972032627,1.09212242850908,2583000,-0.0769991000823896,28207.4571463595
"131","Finland","2016",12.9900100674976,1.32598067622219,2585250,0.0485132124576129,34278.9475733576
