"","region","date","unemployment_rate","vacancy_rate","becru","fegap"
"44","Anglo-American",2010-10-01,8.74788370636753,1.82285939993438,3.99326458473326,4.75461912163427
"45","Anglo-American",2011-01-01,8.36659505697591,1.88819862111811,3.97464378907538,4.39195126790053
"46","Anglo-American",2011-04-01,8.41082884365965,1.96261479291345,4.06290746993204,4.34792137372761
"47","Anglo-American",2011-07-01,8.40211979729001,2.05196826666959,4.15221425227497,4.24990554501503
"48","Anglo-American",2011-10-01,8.11194239502674,2.01378952246722,4.04175019044504,4.0701922045817
"49","Anglo-American",2012-01-01,7.81677286568573,2.20571575049846,4.15229804179709,3.66447482388863
"50","Anglo-American",2012-04-01,7.74370707474213,2.2196755094723,4.14590363447253,3.59780344026961
"51","Anglo-American",2012-07-01,7.59906219006377,2.18056736937653,4.07065928929406,3.52840290076971
"52","Anglo-American",2012-10-01,7.39384369994908,2.16821818995483,4.00393136853175,3.38991233141733
"53","Anglo-American",2013-01-01,7.32007511308916,2.32818794547968,4.12825757896718,3.19181753412198
"54","Anglo-American",2013-04-01,7.12373218540589,2.34491933572375,4.08712335806933,3.03660882733656
"55","Anglo-American",2013-07-01,6.81375201352574,2.34717524423906,3.99913366199876,2.81461835152698
"56","Anglo-American",2013-10-01,6.49523487901838,2.37086662633881,3.92419872138205,2.57103615763633
"57","Anglo-American",2014-01-01,6.23552893328987,2.49087478930013,3.9410559267642,2.29447300652567
"58","Anglo-American",2014-04-01,5.81874057478339,2.77672013332759,4.01957884667177,1.79916172811162
"59","Anglo-American",2014-07-01,5.6463939941859,2.83777416092673,4.00289782271701,1.64349617146889
"60","Anglo-American",2014-10-01,5.26891033298562,2.89715965568933,3.90702885146381,1.36188148152182
"61","Anglo-American",2015-01-01,5.12468490307562,3.07653496168141,3.97067655090578,1.15400835216984
"62","Anglo-American",2015-04-01,4.95994773989962,3.19810721692132,3.98276846709994,0.977179272799684
"63","Anglo-American",2015-07-01,4.70060931454558,3.27597723178513,3.9241673116686,0.776442002876972
"64","Anglo-American",2015-10-01,4.60803868804679,3.18959443982652,3.83376767395985,0.774271014086935
"65","Anglo-American",2016-01-01,4.54452852137224,3.36201765027166,3.90880865495056,0.635719866421678
"66","Anglo-American",2016-04-01,4.4871205242044,3.35416061584517,3.87950034680201,0.607620177402392
"67","Anglo-American",2016-07-01,4.538423376225,3.32865427539619,3.88675216277413,0.651671213450876
"68","Anglo-American",2016-10-01,4.36951767789332,3.23190331222023,3.75790615316406,0.611611524729267
"69","Anglo-American",2017-01-01,4.30736619274322,3.24559160508883,3.73897734082608,0.568388851917143
"70","Anglo-American",2017-04-01,4.03535682769286,3.46758942113881,3.74071659528332,0.294640232409546
"71","Anglo-American",2017-07-01,4.00946994138685,3.555815104813,3.77583550752374,0.233634433863108
"72","Anglo-American",2017-10-01,3.84739024626759,3.42681182948935,3.63101671829967,0.216373527967919
"73","Anglo-American",2018-01-01,3.80206329186599,3.7996886726437,3.80087579681021,0.00118749505578419
"74","Anglo-American",2018-04-01,3.73490017169423,3.99841523142469,3.86441221071884,-0.12951203902461
"75","Anglo-American",2018-07-01,3.61040717986912,4.10320651798389,3.84892793814262,-0.238520758273501
"76","Anglo-American",2018-10-01,3.69375345043025,4.18672110540526,3.93252025157911,-0.238766801148859
"77","Anglo-American",2019-01-01,3.74850314525676,4.09206844248814,3.91652032131492,-0.168017176058155
